candidate_id,source_phase,run_tag,model_family,loss_mode,checkpoint_path_if_available,has_offline_metrics,has_closed_loop_metrics,has_onnx,has_matlab,original_gate_status,original_promotion_status,notes,evidence_validity,actual_method,smoothness_loss_valid,scheduling_replay_valid,advisory_only,invalid_reason,repair_required_for_formal_use,is_reference_baseline,is_candidate,repair_status,e2_smooth_fixed_status,e5_replay_fixed_status,metric_missing_ratio,required_offline_metrics_available,hard_protection_metrics_not_unavailable,final_proxy_rank,rank_spread_v0_v3,sensitivity_dependent
fs_t05_s02_sm000_seed21,E2_hard_sample_loss,fs_t05_s02_sm000_seed21,ModernTCN_small,transition_focal=0.5;stall_focal=0.2,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\02_hard_sample_loss\fs_t05_s02_sm000_seed21\modern_tcn_seed21.pt,true,false,false,false,PASS_negative_not_eligible,false,E2 evidence degraded; hard-sample focal only candidate; smoothness claim invalid_not_run,degraded,hard_sample_focal_only,false,not_applicable,false,theta_smoothness_claim_invalid_not_run,rerun_with_valid_theta_smoothness_loss_and_replay_capable_order,false,true,PASS_CONTRACT_LIMITED,not_run_contract_limited,NaN,0,true,true,15,1,false
pg_alpha01_seed21,E3_physics_group_gate,pg_alpha01_seed21,ModernTCN_small,physics_group_gate_alpha_init=0.1,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\03_physics_group_gate\pg_alpha01_seed21\modern_tcn_pg_seed21.pt,true,false,false,false,PASS_negative_not_eligible,false,historical negative result; local interpretation did not survive hard protection,historical_valid,physics_group_gate_alpha_init=0.1,not_applicable,not_applicable,false,NaN,NaN,false,true,HISTORICAL,NaN,NaN,0,true,true,5,1,false
pg_alpha0_seed21,E3_physics_group_gate,pg_alpha0_seed21,ModernTCN_small,physics_group_gate_alpha_init=0.0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\03_physics_group_gate\pg_alpha0_seed21\modern_tcn_pg_seed21.pt,true,false,false,false,PASS_negative_not_eligible,false,historical negative result; local interpretation did not survive hard protection,historical_valid,physics_group_gate_alpha_init=0.0,not_applicable,not_applicable,false,NaN,NaN,false,true,HISTORICAL,NaN,NaN,0,true,true,8,0,false
mode_theta_detach_flatreg001_seed21,E4_mode_conditioned_theta,mode_theta_detach_flatreg001_seed21,ModernTCNModeTheta,mode_theta_detach_flatreg=0.01,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\04_mode_conditioned_theta\mode_theta_detach_flatreg001_seed21\modern_tcn_mode_theta_seed21.pt,true,false,false,false,PASS_negative_not_safe_eligible,false,historical negative result; theta improvement not sufficient for hard protection,historical_valid,mode_theta_detach_flatreg=0.01,not_applicable,not_applicable,false,NaN,NaN,false,true,HISTORICAL,NaN,NaN,0,true,true,2,0,false
mode_theta_detach_flatreg003_seed21,E4_mode_conditioned_theta,mode_theta_detach_flatreg003_seed21,ModernTCNModeTheta,mode_theta_detach_flatreg=0.03,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\04_mode_conditioned_theta\mode_theta_detach_flatreg003_seed21\modern_tcn_mode_theta_seed21.pt,true,false,false,false,PASS_negative_not_safe_eligible,false,historical negative result; theta improvement not sufficient for hard protection,historical_valid,mode_theta_detach_flatreg=0.03,not_applicable,not_applicable,false,NaN,NaN,false,true,HISTORICAL,NaN,NaN,0,true,true,3,0,false
mode_theta_detach_flatreg000_seed21,E4_mode_conditioned_theta,mode_theta_detach_flatreg000_seed21,ModernTCNModeTheta,mode_theta_detach_flatreg=0.0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\04_mode_conditioned_theta\mode_theta_detach_flatreg000_seed21\modern_tcn_mode_theta_seed21.pt,true,false,false,false,PASS_negative_not_safe_eligible,false,historical negative result; theta improvement not sufficient for hard protection,historical_valid,mode_theta_detach_flatreg=0.0,not_applicable,not_applicable,false,NaN,NaN,false,true,HISTORICAL,NaN,NaN,0,true,true,7,0,false
cs_main_c06_d02,E5_confidence_scheduling,cs_main_c06_d02,ConfidenceScheduling,confidence_scheduling_main_conf_c=0.6_d=0.2,NaN,true,false,false,false,PASS_offline_safety_failed,false,E5 advisory only; scheduled metrics excluded from formal J_control/J_smooth_event,advisory_only,confidence_scheduling_offline_screen,not_applicable,false,true,non_replay_capable_dataset_run_id_interleaved,create_E5_replay_fixed_on_replay_capable_dataset,false,true,PASS_CONTRACT_LIMITED,NaN,not_run_contract_limited,0.777777777777778,false,false,NaN,NaN,false
cs_mainturn_c06_d01,E5_confidence_scheduling,cs_mainturn_c06_d01,ConfidenceScheduling,confidence_scheduling_main_turn_conf_c=0.6_d=0.1,NaN,true,false,false,false,PASS_offline_safety_failed,false,E5 advisory only; scheduled metrics excluded from formal J_control/J_smooth_event,advisory_only,confidence_scheduling_offline_screen,not_applicable,false,true,non_replay_capable_dataset_run_id_interleaved,create_E5_replay_fixed_on_replay_capable_dataset,false,true,PASS_CONTRACT_LIMITED,NaN,not_run_contract_limited,0.777777777777778,false,false,NaN,NaN,false
cs_main_c07_d01,E5_confidence_scheduling,cs_main_c07_d01,ConfidenceScheduling,confidence_scheduling_main_conf_c=0.7_d=0.1,NaN,true,false,false,false,PASS_offline_safety_failed,false,E5 advisory only; scheduled metrics excluded from formal J_control/J_smooth_event,advisory_only,confidence_scheduling_offline_screen,not_applicable,false,true,non_replay_capable_dataset_run_id_interleaved,create_E5_replay_fixed_on_replay_capable_dataset,false,true,PASS_CONTRACT_LIMITED,NaN,not_run_contract_limited,0.777777777777778,false,false,NaN,NaN,false
cs_main_c06_d01,E5_confidence_scheduling,cs_main_c06_d01,ConfidenceScheduling,confidence_scheduling_main_conf_c=0.6_d=0.1,NaN,true,false,false,false,PASS_offline_safety_failed,false,E5 advisory only; scheduled metrics excluded from formal J_control/J_smooth_event,advisory_only,confidence_scheduling_offline_screen,not_applicable,false,true,non_replay_capable_dataset_run_id_interleaved,create_E5_replay_fixed_on_replay_capable_dataset,false,true,PASS_CONTRACT_LIMITED,NaN,not_run_contract_limited,0.777777777777778,false,false,NaN,NaN,false
rate_limit_only_d01,E5_confidence_scheduling,rate_limit_only_d01,ConfidenceScheduling,rate_limit_only_delta=0.1,NaN,true,false,false,false,PASS_offline_safety_failed,false,E5 advisory only; scheduled metrics excluded from formal J_control/J_smooth_event,advisory_only,confidence_scheduling_offline_screen,not_applicable,false,true,non_replay_capable_dataset_run_id_interleaved,create_E5_replay_fixed_on_replay_capable_dataset,false,true,PASS_CONTRACT_LIMITED,NaN,not_run_contract_limited,0.777777777777778,false,false,NaN,NaN,false
